--- Recording Logitech F310 Activity from /dev/input/js0 ---
--- Press Ctrl+C to exit ---

 EVENT  | Type: Axis   | ID: 3  | Value: 18390
 EVENT  | Type: Axis   | ID: 4  | Value: 8029
 EVENT  | Type: Axis   | ID: 3  | Value: 14246
 EVENT  | Type: Axis   | ID: 4  | Value: 2590
 EVENT  | Type: Axis   | ID: 3  | Value: 10101
 EVENT  | Type: Axis   | ID: 4  | Value: -2592
 EVENT  | Type: Axis   | ID: 3  | Value: 5957
 EVENT  | Type: Axis   | ID: 4  | Value: -6477
 EVENT  | Type: Axis   | ID: 3  | Value: 1813
 EVENT  | Type: Axis   | ID: 4  | Value: -9326
 EVENT  | Type: Axis   | ID: 7  | Value: -32767
 EVENT  | Type: Axis   | ID: 3  | Value: 259
 EVENT  | Type: Axis   | ID: 4  | Value: -13212
 EVENT  | Type: Axis   | ID: 3  | Value: 0
 EVENT  | Type: Axis   | ID: 4  | Value: -17356
 EVENT  | Type: Axis   | ID: 4  | Value: -20982
 EVENT  | Type: Axis   | ID: 4  | Value: -24350
 EVENT  | Type: Axis   | ID: 4  | Value: -27199
 EVENT  | Type: Axis   | ID: 4  | Value: -29530
 EVENT  | Type: Axis   | ID: 3  | Value: -520
 EVENT  | Type: Axis   | ID: 4  | Value: -31084
 EVENT  | Type: Axis   | ID: 3  | Value: -3110
 EVENT  | Type: Axis   | ID: 4  | Value: -32379
 EVENT  | Type: Axis   | ID: 3  | Value: -7254
 EVENT  | Type: Axis   | ID: 4  | Value: -32638
 EVENT  | Type: Axis   | ID: 3  | Value: -11399
 EVENT  | Type: Axis   | ID: 6  | Value: 32767
 EVENT  | Type: Axis   | ID: 3  | Value: -15543
 EVENT  | Type: Axis   | ID: 3  | Value: -19687
 EVENT  | Type: Axis   | ID: 4  | Value: -30566
 EVENT  | Type: Axis   | ID: 7  | Value: 0
 EVENT  | Type: Axis   | ID: 3  | Value: -23832
 EVENT  | Type: Axis   | ID: 4  | Value: -29271
 EVENT  | Type: Axis   | ID: 3  | Value: -27976
 EVENT  | Type: Axis   | ID: 4  | Value: -27976
 EVENT  | Type: Axis   | ID: 3  | Value: -31343
 EVENT  | Type: Axis   | ID: 4  | Value: -26681
 EVENT  | Type: Axis   | ID: 3  | Value: -32767
 EVENT  | Type: Axis   | ID: 4  | Value: -25127
 EVENT  | Type: Axis   | ID: 4  | Value: -23573
 EVENT  | Type: Axis   | ID: 7  | Value: 32767
 EVENT  | Type: Axis   | ID: 4  | Value: -22019
 EVENT  | Type: Axis   | ID: 4  | Value: -20464
 EVENT  | Type: Axis   | ID: 4  | Value: -18651
 EVENT  | Type: Axis   | ID: 4  | Value: -16579
